County,Annual_Wage,Hourly_Wage
Adair,42206,20.29
Andrew,38969,18.74
Atchison,45493,21.87
Audrain,45774,22.01
Barry,45147,21.71
Barton,43581,20.95
Bates,39970,19.22
Benton,33989,16.34
Bollinger,39111,18.80
Boone,50405,24.23
Buchanan,57825,27.80
Butler,41850,20.12
Caldwell,45931,22.08
Callaway,58248,28.00
Camden,44648,21.47
Cape Girardeau,52178,25.09
Carroll,42061,20.22
Carter,31297,15.05
Cass,46144,22.18
Cedar,35927,17.27
Chariton,42465,20.42
Christian,41688,20.04
Clark,35171,16.91
Clay,61669,29.65
Clinton,44766,21.52
Cole,53202,25.58
Cooper,39884,19.18
Crawford,47483,22.83
Dade,38646,18.58
Dallas,30747,14.78
Daviess,37491,18.02
DeKalb,45403,21.83
Dent,38835,18.67
Douglas,33737,16.22
Dunklin,33856,16.28
Franklin,50840,24.44
Gasconade,37289,17.93
Gentry,43673,21.00
Greene,54893,26.39
Grundy,41374,19.89
Harrison,39377,18.93
Henry,43592,20.96
Hickory,32902,15.82
Holt,46662,22.43
Howard,42877,20.61
Howell,42447,20.41
Iron,46023,22.13
Jackson,69603,33.46
Jasper,48409,23.27
Jefferson,47847,23.00
Johnson,40088,19.27
Knox,41402,19.90
Laclede,45084,21.68
Lafayette,42427,20.40
Lawrence,46032,22.13
Lewis,43313,20.82
Lincoln,51444,24.73
Linn,41637,20.02
Livingston,43015,20.68
McDonald,43833,21.07
Macon,39104,18.80
Madison,37804,18.18
Maries,39311,18.90
Marion,49992,24.03
Mercer,50383,24.22
Miller,41794,20.09
Mississippi,40750,19.59
Moniteau,45656,21.95
Monroe,38816,18.66
Montgomery,49414,23.76
Morgan,37258,17.91
NewMadrid,45943,22.09
Newton,52101,25.05
Nodaway,41788,20.09
Oregon,33727,16.21
Osage,48865,23.49
Ozark,31239,15.02
Pemiscot,36396,17.50
Perry,47457,22.82
Pettis,45303,21.78
Phelps,45341,21.80
Pike,42361,20.37
Platte,58220,27.99
Polk,41765,20.08
Pulaski,35717,17.17
Putnam,37403,17.98
Ralls,52040,25.02
Randolph,50425,24.24
Ray,45274,21.77
Reynolds,46091,22.16
Ripley,27035,13.00
St. Charles,58464,28.11
St. Clair,37005,17.79
Ste. Genevieve,54213,26.06
St. Francois,40434,19.44
St. Louis,75011,36.06
St. LouisCity,76957,37.00
Saline,45237,21.75
Schuyler,42663,20.51
Scotland,37180,17.88
Scott,48183,23.16
Shannon,33667,16.19
Shelby,43518,20.92
Stoddard,45105,21.69
Stone,36684,17.64
Sullivan,52295,25.14
Taney,39961,19.21
Texas,37071,17.82
Vernon,43928,21.12
Warren,49056,23.58
Washington,35677,17.15
Wayne,34838,16.75
Webster,42960,20.65
Worth,29032,13.96
Wright,39861,19.16

